Job_ID,Date_Evaluated,Company,Role_Title,Location,Work_Type,Employment_Type,Comp_Posted,Applicant_Volume,Source,URL,Verdict,Score,Role_Type,Comp_Flag,Biggest_Gap,Biggest_Strength,Recommended_Action,Carls_Action,Carls_Action_Date,Outcome,Reason,Notes,Score_Raw
4400030381,2026-07-27,Cobalt Reach,Analytics Engineer,"Brentwood, TN",Remote-first (confirmed on both the posting and the company career site),Contract (12 months),,Over 100 applicants,LinkedIn saved search,https://example.invalid/jobs/9975036974,Pursue,43,Data Engineering,Below floor (VETO_LINE-FLOOR),Stack is Snowflake-core with Power BI as a secondary surface,Governed reporting layer that program teams consume directly,"Review (judgment call) - compensable gate fired, no veto",Withdrew,2026-08-17,,,Score 43 = Lane 2 + Scope 15 + Comp 2 + Location 1 + Skills 16 + Applicants 7. G3b fires: client-delivery shape rather than product ownership.,43
4400020160,2026-07-31,Tessellate AI,Power BI Developer,"Nashville, TN",Remote,Full-time,,,LinkedIn job alert,https://example.invalid/jobs/2149580233,Pursue,67,Consulting Delivery,Sub-target (FLOOR-TARGET),Comp tops out below the floor for the posted band,Clear analytics-engineering lane rather than generic BI support,"Review (judgment call) - compensable gate fired, no veto",Referral Requested,2026-08-21,,,Score 67 = Lane 14 + Scope 18 + Comp 20 + Location 0 + Skills 14 + Applicants 1.,67
4400038958,2026-08-05,Apex Talent Partners,BI Engineering Lead,"Austin, TX",Onsite,Full-time,,,LinkedIn saved search,https://example.invalid/jobs/9318691460,Pass,44,Consulting Delivery,Sub-target (FLOOR-TARGET),Title reads senior but the body describes an IC reporting role,Clear analytics-engineering lane rather than generic BI support,Skip - delivery-shaped role,Pass,2026-08-06,,director+ scope,"Score 44 = Lane 15 + Scope 11 + Comp 2 + Location 3 + Skills 6 + Applicants 7. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",44
4400014388,2026-08-30,Cedar & Vale,Director of Analytics,"Brentwood, TN",Remote,Contract (12 months),,,LinkedIn job alert,https://example.invalid/jobs/8114113589,Pass,87,Analytics Leadership,Below veto line (<VETO_LINE),Comp tops out below the floor for the posted band,Remote-first and the posted state list includes the target state,Pursue - strong lane match,,,,consulting delivery role,Score 87 = Lane 12 + Scope 16 + Comp 15 + Location 7 + Skills 10 + Perks 11 + Applicants 16.,87
4400035145,2026-07-25,Perihelion Labs,Director of Analytics,"Chicago, IL",Remote-first (confirmed on both the posting and the company career site),Contract-to-hire,"$173,000.00 - $215,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/9953810416,Not evaluated,,Data Engineering,Sub-target (FLOOR-TARGET),,,,,,,,Not evaluated - posting body could not be retrieved.,
4400027186,2026-08-29,Cedar & Vale,Data Architect,"Chicago, IL",Hybrid (2 days onsite),Full-time,"$173,000.00 - $211,000.00",,LinkedIn saved search,https://example.invalid/jobs/2684622843,Pass,43,Consulting Delivery,,Job is delivery/consulting shaped rather than product-side ownership,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,None,,,"data engineering, not BI",Score 43 = Lane 6 + Scope 4 + Comp 4 + Location 14 + Skills 7 + Applicants 8.,43
4400028435,2026-09-01,Halcyon Retail Group,Director of Analytics,United States,Hybrid (2 days onsite),Full-time,,34 clicked apply,LinkedIn job alert,https://example.invalid/jobs/7710019508,Skip,70,Consulting Delivery,,Stack is Snowflake-core with Power BI as a secondary surface,Clear analytics-engineering lane rather than generic BI support,Pursue - strong lane match,,,,"data engineering, not BI",Score 70 = Lane 19 + Scope 6 + Comp 9 + Location 14 + Skills 17 + Perks 14 + Applicants 1. Capped from 80 (rubric ceiling for this lane applied). G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,80
4400026160,2026-09-01,Tessellate AI,Business Intelligence Analyst,"Austin, TX",Hybrid (2 days onsite),Full-time,,59 clicked apply,LinkedIn saved search,https://example.invalid/jobs/6315973103,Skip,46,Data Engineering,,Fixed-term contract rather than a permanent role,Explicit semantic-model ownership named in the responsibilities,Skip - delivery-shaped role,,,,director+ scope,"Score 46 = Lane 8 + Scope 10 + Comp 17 + Location 1 + Skills 10 + Applicants 0. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",46
4400006468,2026-08-10,Blue Ridge Insurance,Senior BI Developer,Remote (US),Remote-first (confirmed on both the posting and the company career site),Contract-to-hire,"$177,000.00 - $209,000.00",90 applicants,Recruiter message,https://example.invalid/jobs/5074265031,Not evaluated,70,Data Engineering,Below veto line (<VETO_LINE),Fixed-term contract rather than a permanent role,Direct match to the Fabric / Power BI stack already in use,Skip - delivery-shaped role,Pass,2026-08-06,,,Score 70 = Lane 7 + Scope 19 + Comp 16 + Location 9 + Skills 13 + Perks 11 + Applicants 5. Capped from 80 (rubric ceiling for this lane applied).,80
4400031550,2026-08-06,Bridgeway Staffing,Business Intelligence Analyst,"Brentwood, TN",Remote,Contract (12 months),"$101,000.00 - $124,000.00",,LinkedIn saved search,https://example.invalid/jobs/7699368765,Pass,94,Consulting Delivery,Below floor (VETO_LINE-FLOOR),Title reads senior but the body describes an IC reporting role,Remote-first and the posted state list includes the target state,"Review (judgment call) - compensable gate fired, no veto",,,,no longer accepting applications,"Score 94 = Lane 9 + Scope 17 + Comp 8 + Location 12 + Skills 16 + Perks 12 + Applicants 20. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",94
4400017289,2026-08-03,Greystone Public Sector,Senior BI Developer,"Atlanta, GA",Hybrid (2 days onsite),Full-time,,61 applicants,Recruiter message,https://example.invalid/jobs/5322674672,Pass,76,Analytics Leadership,None (>=TARGET),Stack is Snowflake-core with Power BI as a secondary surface,Direct match to the Fabric / Power BI stack already in use,Pass - fails the comp gate,,,,consulting delivery role,Score 76 = Lane 10 + Scope 14 + Comp 18 + Location 11 + Skills 6 + Perks 8 + Applicants 9. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,76
4400033384,2026-07-26,Bridgeway Staffing,Analytics Engineer,"Chicago, IL",Remote,Full-time (W2),"$149,000.00 - $164,000.00",,Recruiter message,https://example.invalid/jobs/5775336504,Not evaluated,,BI / Analytics,,,,,Pass,,,,Not evaluated - posting body could not be retrieved.,
